,date,grocery,sub_region_2
284662,3/23/20,-12.0,Brevard County
284663,3/24/20,-12.0,Brevard County
284664,3/25/20,-11.0,Brevard County
284665,3/26/20,-14.0,Brevard County
284666,3/27/20,-16.0,Brevard County
284667,3/28/20,-18.0,Brevard County
284668,3/29/20,-22.0,Brevard County
284669,3/30/20,-20.0,Brevard County
284670,3/31/20,-17.0,Brevard County
284671,4/1/20,-2.0,Brevard County
284672,4/2/20,-5.0,Brevard County
284673,4/3/20,-20.0,Brevard County
284674,4/4/20,-25.0,Brevard County
284675,4/5/20,-36.0,Brevard County
284676,4/6/20,-25.0,Brevard County
284677,4/7/20,-22.0,Brevard County
284678,4/8/20,-21.0,Brevard County
284679,4/9/20,-22.0,Brevard County
284680,4/10/20,-22.0,Brevard County
284681,4/11/20,-17.0,Brevard County
284682,4/12/20,-54.0,Brevard County
284683,4/13/20,-22.0,Brevard County
284684,4/14/20,-21.0,Brevard County
284685,4/15/20,-17.0,Brevard County
284686,4/16/20,-25.0,Brevard County
284687,4/17/20,-22.0,Brevard County
284688,4/18/20,-25.0,Brevard County
284689,4/19/20,-21.0,Brevard County
284690,4/20/20,-26.0,Brevard County
284691,4/21/20,-18.0,Brevard County
284692,4/22/20,-17.0,Brevard County
284693,4/23/20,-19.0,Brevard County
284694,4/24/20,-29.0,Brevard County
284695,4/25/20,-16.0,Brevard County
284696,4/26/20,-19.0,Brevard County
284697,4/27/20,-18.0,Brevard County
284698,4/28/20,-15.0,Brevard County
284699,4/29/20,-14.0,Brevard County
284700,4/30/20,-17.0,Brevard County
284701,5/1/20,-12.0,Brevard County
284702,5/2/20,-9.0,Brevard County
284703,5/3/20,-10.0,Brevard County
284704,5/4/20,-14.0,Brevard County
284705,5/5/20,-9.0,Brevard County
284706,5/6/20,-11.0,Brevard County
284707,5/7/20,-10.0,Brevard County
284708,5/8/20,-8.0,Brevard County
284709,5/9/20,3.0,Brevard County
284710,5/10/20,-10.0,Brevard County
284711,5/11/20,-14.0,Brevard County
284712,5/12/20,-10.0,Brevard County
284713,5/13/20,-9.0,Brevard County
284714,5/14/20,-9.0,Brevard County
284715,5/15/20,-11.0,Brevard County
284716,5/16/20,-9.0,Brevard County
284717,5/17/20,-10.0,Brevard County
284718,5/18/20,-13.0,Brevard County
284719,5/19/20,-9.0,Brevard County
284720,5/20/20,-7.0,Brevard County
284721,5/21/20,-10.0,Brevard County
284722,5/22/20,-6.0,Brevard County
284723,5/23/20,-2.0,Brevard County
284724,5/24/20,-5.0,Brevard County
284725,5/25/20,-28.0,Brevard County
284726,5/26/20,-6.0,Brevard County
284727,5/27/20,-5.0,Brevard County
284728,5/28/20,-7.0,Brevard County
284729,5/29/20,-7.0,Brevard County
284730,5/30/20,2.0,Brevard County
284731,5/31/20,-7.0,Brevard County
284732,6/1/20,-8.0,Brevard County
284733,6/2/20,-11.0,Brevard County
284734,6/3/20,-8.0,Brevard County
284735,6/4/20,-11.0,Brevard County
284736,6/5/20,-13.0,Brevard County
284737,6/6/20,-9.0,Brevard County
284738,6/7/20,-12.0,Brevard County
284739,6/8/20,-11.0,Brevard County
284740,6/9/20,-9.0,Brevard County
284741,6/10/20,-6.0,Brevard County
284742,6/11/20,-7.0,Brevard County
284743,6/12/20,-6.0,Brevard County
284744,6/13/20,-5.0,Brevard County
284745,6/14/20,-8.0,Brevard County
284746,6/15/20,-7.0,Brevard County
284747,6/16/20,-5.0,Brevard County
284748,6/17/20,-4.0,Brevard County
284749,6/18/20,-6.0,Brevard County
284750,6/19/20,-9.0,Brevard County
284751,6/20/20,0.0,Brevard County
284752,6/21/20,-2.0,Brevard County
284753,6/22/20,-8.0,Brevard County
284754,6/23/20,-7.0,Brevard County
284755,6/24/20,-5.0,Brevard County
284756,6/25/20,-9.0,Brevard County
284757,6/26/20,-6.0,Brevard County
284758,6/27/20,-5.0,Brevard County
284759,6/28/20,-8.0,Brevard County
284760,6/29/20,-9.0,Brevard County
284761,6/30/20,-7.0,Brevard County
284762,7/1/20,-7.0,Brevard County
284763,7/2/20,-1.0,Brevard County
284764,7/3/20,2.0,Brevard County
284765,2/15/20,-5.0,Broward County
284766,2/16/20,1.0,Broward County
284767,2/17/20,1.0,Broward County
284768,2/18/20,1.0,Broward County
284769,2/19/20,1.0,Broward County
284770,2/20/20,0.0,Broward County
284771,2/21/20,0.0,Broward County
284772,2/22/20,-1.0,Broward County
284773,2/23/20,2.0,Broward County
284774,2/24/20,2.0,Broward County
284775,2/25/20,3.0,Broward County
284776,2/26/20,2.0,Broward County
284777,2/27/20,4.0,Broward County
284778,2/28/20,3.0,Broward County
284779,2/29/20,2.0,Broward County
284780,3/1/20,6.0,Broward County
284781,3/2/20,7.0,Broward County
284782,3/3/20,9.0,Broward County
284783,3/4/20,5.0,Broward County
284784,3/5/20,7.0,Broward County
284785,3/6/20,5.0,Broward County
284786,3/7/20,3.0,Broward County
284787,3/8/20,3.0,Broward County
284788,3/9/20,5.0,Broward County
284789,3/10/20,8.0,Broward County
284790,3/11/20,9.0,Broward County
284791,3/12/20,24.0,Broward County
284792,3/13/20,30.0,Broward County
284793,3/14/20,20.0,Broward County
284794,3/15/20,10.0,Broward County
284795,3/16/20,17.0,Broward County
284796,3/17/20,17.0,Broward County
284797,3/18/20,8.0,Broward County
284798,3/19/20,7.0,Broward County
284799,3/20/20,10.0,Broward County
284800,3/21/20,-6.0,Broward County
284801,3/22/20,-16.0,Broward County
284802,3/23/20,-14.0,Broward County
284803,3/24/20,-13.0,Broward County
284804,3/25/20,-17.0,Broward County
284805,3/26/20,-17.0,Broward County
284806,3/27/20,-15.0,Broward County
284807,3/28/20,-22.0,Broward County
284808,3/29/20,-28.0,Broward County
284809,3/30/20,-23.0,Broward County
284810,3/31/20,-19.0,Broward County
284811,4/1/20,-16.0,Broward County
284812,4/2/20,-13.0,Broward County
284813,4/3/20,-15.0,Broward County
284814,4/4/20,-23.0,Broward County
284815,4/5/20,-30.0,Broward County
284816,4/6/20,-25.0,Broward County
284817,4/7/20,-22.0,Broward County
284818,4/8/20,-23.0,Broward County
284819,4/9/20,-21.0,Broward County
284820,4/10/20,-19.0,Broward County
284821,4/11/20,-23.0,Broward County
284822,4/12/20,-50.0,Broward County
284823,4/13/20,-26.0,Broward County
284824,4/14/20,-24.0,Broward County
284825,4/15/20,-23.0,Broward County
284826,4/16/20,-23.0,Broward County
284827,4/17/20,-22.0,Broward County
284828,4/18/20,-25.0,Broward County
284829,4/19/20,-26.0,Broward County
284830,4/20/20,-25.0,Broward County
284831,4/21/20,-22.0,Broward County
284832,4/22/20,-23.0,Broward County
284833,4/23/20,-23.0,Broward County
284834,4/24/20,-22.0,Broward County
284835,4/25/20,-24.0,Broward County
284836,4/26/20,-32.0,Broward County
284837,4/27/20,-22.0,Broward County
284838,4/28/20,-20.0,Broward County
284839,4/29/20,-22.0,Broward County
284840,4/30/20,-24.0,Broward County
284841,5/1/20,-14.0,Broward County
284842,5/2/20,-17.0,Broward County
284843,5/3/20,-19.0,Broward County
284844,5/4/20,-18.0,Broward County
284845,5/5/20,-13.0,Broward County
284846,5/6/20,-17.0,Broward County
284847,5/7/20,-15.0,Broward County
284848,5/8/20,-10.0,Broward County
284849,5/9/20,-4.0,Broward County
284850,5/10/20,-17.0,Broward County
284851,5/11/20,-20.0,Broward County
284852,5/12/20,-16.0,Broward County
284853,5/13/20,-17.0,Broward County
284854,5/14/20,-17.0,Broward County
284855,5/15/20,-23.0,Broward County
284856,5/16/20,-15.0,Broward County
284857,5/17/20,-21.0,Broward County
284858,5/18/20,-26.0,Broward County
284859,5/19/20,-13.0,Broward County
284860,5/20/20,-16.0,Broward County
284861,5/21/20,-16.0,Broward County
284862,5/22/20,-10.0,Broward County
284863,5/23/20,-14.0,Broward County
284864,5/24/20,-28.0,Broward County
284865,5/25/20,-31.0,Broward County
